film_tt0025452	tt0025452
film_tt0209958	tt0209958
film_tt0210294	tt0210294
film_tt0049287	tt0049287
film_tt0734690	tt0734690
film_tt0349710	tt0349710
film_tt0130883	tt0130883
film_tt0103030	tt0103030
film_tt0038000	tt0038000
run_28	28
film_tt0439932	tt0439932
film_tt0023395	tt0023395
film_tt0062429	tt0062429
film_tt0312004	tt0312004
film_tt0197570	tt0197570
film_tt0246765	tt0246765
film_tt0415778	tt0415778
film_tt0095851	tt0095851
run_183	183
film_tt0071221	tt0071221
film_tt0343644	tt0343644
film_tt0306047	tt0306047
film_tt0284490	tt0284490
film_tt0096794	tt0096794
film_tt0025830	tt0025830
film_tt0363290	tt0363290
film_tt0120831	tt0120831
film_tt0295762	tt0295762
film_tt0433367	tt0433367
film_tt0223135	tt0223135
film_tt0185429	tt0185429
film_tt0120361	tt0120361
film_tt0229564	tt0229564
film_tt0191819	tt0191819
film_tt0150209	tt0150209
film_tt0118891	tt0118891
film_tt0045932	tt0045932
film_tt0191915	tt0191915
film_tt0226540	tt0226540
film_tt0784558	tt0784558
film_tt0024100	tt0024100
film_tt0178997	tt0178997
film_tt0299302	tt0299302
run_72	72
film_tt0043455	tt0043455
film_tt0046187	tt0046187
film_tt0181306	tt0181306
film_tt0032641	tt0032641
film_tt0049034	tt0049034
film_tt0478557	tt0478557
film_tt0325214	tt0325214
film_tt0045020	tt0045020
film_tt0233559	tt0233559
film_tt0114040	tt0114040
film_tt0028097	tt0028097
start_1958	1958
film_tt0242193	tt0242193
run_17	17
film_tt0086581	tt0086581
run_86	86
film_tt0090148	tt0090148
film_tt0309380	tt0309380
film_tt0082467	tt0082467
film_tt0115387	tt0115387
film_tt0756447	tt0756447
film_tt0107868	tt0107868
film_tt0184424	tt0184424
film_tt0104534	tt0104534
film_tt0425061	tt0425061
film_tt0062979	tt0062979
film_tt0125266	tt0125266
film_tt0187636	tt0187636
film_tt0038973	tt0038973
film_tt0070458	tt0070458
film_tt0105950	tt0105950
film_tt0247993	tt0247993
film_tt0107057	tt0107057
film_tt0093223	tt0093223
film_tt0161446	tt0161446
film_tt0174962	tt0174962
film_tt0027800	tt0027800
film_tt0216578	tt0216578
film_tt0041847	tt0041847
film_tt0038163	tt0038163
film_tt0323741	tt0323741
film_tt0310851	tt0310851
film_tt0086994	tt0086994
film_tt0397044	tt0397044
film_tt0994359	tt0994359
film_tt0379473	tt0379473
film_tt0118266	tt0118266
film_tt0312640	tt0312640
film_tt0385586	tt0385586
film_tt0158887	tt0158887
film_tt0109180	tt0109180
film_tt0307875	tt0307875
film_tt0117011	tt0117011
film_tt0274509	tt0274509
film_tt0089491	tt0089491
film_tt0327594	tt0327594
film_tt0118868	tt0118868
film_tt0780650	tt0780650
film_tt0268401	tt0268401
film_tt0371853	tt0371853
film_tt0127503	tt0127503
film_tt0325857	tt0325857
film_tt0068282	tt0068282
film_tt0401398	tt0401398
film_tt0079103	tt0079103
film_tt0028653	tt0028653
film_tt0338479	tt0338479
film_tt0450385	tt0450385
film_tt0112715	tt0112715
film_tt0870937	tt0870937
start_1990	1990
film_tt0085900	tt0085900
film_tt0107719	tt0107719
film_tt0038129	tt0038129
film_tt0049616	tt0049616
film_tt0102467	tt0102467
film_tt0022782	tt0022782
film_tt0093412	tt0093412
film_tt0116671	tt0116671
film_tt0071396	tt0071396
film_tt0063794	tt0063794
film_tt0029401	tt0029401
film_tt0284135	tt0284135
film_tt0050718	tt0050718
film_tt0286098	tt0286098
film_tt0121296	tt0121296
film_tt0964510	tt0964510
film_tt0071613	tt0071613
film_tt0376890	tt0376890
film_tt0892874	tt0892874
film_tt0005077	tt0005077
start_1949	1949
film_tt0388318	tt0388318
film_tt0045826	tt0045826
film_tt0086137	tt0086137
start_1930	1930
film_tt0086971	tt0086971
film_tt0785025	tt0785025
film_tt0108358	tt0108358
film_tt0140697	tt0140697
film_tt0298034	tt0298034
film_tt0109895	tt0109895
film_tt0404183	tt0404183
film_tt0231775	tt0231775
film_tt0027125	tt0027125
film_tt0783695	tt0783695
film_tt0217000	tt0217000
film_tt0114388	tt0114388
film_tt0459392	tt0459392
film_tt0074812	tt0074812
film_tt0394894	tt0394894
film_tt0806073	tt0806073
film_tt0124265	tt0124265
film_tt0234041	tt0234041
film_tt0352561	tt0352561
film_tt0089160	tt0089160
film_tt0114268	tt0114268
film_tt0025580	tt0025580
film_tt0073695	tt0073695
film_tt0481141	tt0481141
film_tt0145937	tt0145937
film_tt0100881	tt0100881
film_tt0439856	tt0439856
film_tt0078490	tt0078490
film_tt0362590	tt0362590
film_tt0159539	tt0159539
film_tt0051016	tt0051016
film_tt0446313	tt0446313
film_tt0206476	tt0206476
film_tt0065905	tt0065905
film_tt0091649	tt0091649
film_tt0314085	tt0314085
film_tt0263181	tt0263181
film_tt0085037	tt0085037
film_tt0017480	tt0017480
film_tt0105789	tt0105789
film_tt0312639	tt0312639
film_tt0098350	tt0098350
film_tt0103841	tt0103841
film_tt0254325	tt0254325
film_tt0312988	tt0312988
film_tt0071415	tt0071415
film_tt0180303	tt0180303
film_tt0115543	tt0115543
film_tt0109823	tt0109823
film_tt0037932	tt0037932
film_tt0181310	tt0181310
run_175	175
film_tt0046550	tt0046550
film_tt0022469	tt0022469
film_tt0306714	tt0306714
film_tt0120894	tt0120894
film_tt0308799	tt0308799
film_tt0910978	tt0910978
film_tt0116953	tt0116953
film_tt0066842	tt0066842
film_tt0818682	tt0818682
film_tt0181817	tt0181817
film_tt0099235	tt0099235
film_tt0025822	tt0025822
film_tt0088931	tt0088931
film_tt0117608	tt0117608
film_tt0086374	tt0086374
film_tt0114108	tt0114108
film_tt0120613	tt0120613
film_tt0381942	tt0381942
film_tt0153496	tt0153496
film_tt0364913	tt0364913
film_tt0437182	tt0437182
film_tt0063210	tt0063210
film_tt0068235	tt0068235
film_tt0162661	tt0162661
film_tt0071845	tt0071845
film_tt0008844	tt0008844
film_tt0329814	tt0329814
film_tt0844330	tt0844330
film_tt0104365	tt0104365
film_tt0086336	tt0086336
film_tt0887912	tt0887912
film_tt0091613	tt0091613
film_tt0101327	tt0101327
film_tt0028108	tt0028108
film_tt0032410	tt0032410
film_tt0088437	tt0088437
film_tt0048734	tt0048734
film_tt0183056	tt0183056
film_tt0220034	tt0220034
film_tt0087957	tt0087957
film_tt0084314	tt0084314
film_tt0107151	tt0107151
film_tt0099726	tt0099726
film_tt0441796	tt0441796
film_tt0381707	tt0381707
film_tt0340258	tt0340258
film_tt0067445	tt0067445
film_tt0462219	tt0462219
film_tt0193081	tt0193081
film_tt0102832	tt0102832
film_tt0016129	tt0016129
film_tt0097607	tt0097607
film_tt0418129	tt0418129
film_tt0082948	tt0082948
film_tt0462246	tt0462246
film_tt0080772	tt0080772
film_tt0095846	tt0095846
film_tt0084429	tt0084429
film_tt0079672	tt0079672
film_tt0108915	tt0108915
film_tt0146562	tt0146562
film_tt0442709	tt0442709
film_tt0038238	tt0038238
film_tt0493430	tt0493430
film_tt0046432	tt0046432
film_tt0114754	tt0114754
film_tt0272152	tt0272152
film_tt0026529	tt0026529
film_tt0038758	tt0038758
film_tt0098936	tt0098936
film_tt0039647	tt0039647
film_tt0080319	tt0080319
film_tt0167190	tt0167190
film_tt0021191	tt0021191
film_tt0118703	tt0118703
film_tt0487271	tt0487271
film_tt0369171	tt0369171
film_tt0840266	tt0840266
film_tt0480586	tt0480586
film_tt0982914	tt0982914
film_tt0117768	tt0117768
film_tt0400231	tt0400231
film_tt0092815	tt0092815
film_tt0315031	tt0315031
film_tt0109830	tt0109830
film_tt0083261	tt0083261
film_tt0120793	tt0120793
film_tt0101656	tt0101656
film_tt0031536	tt0031536
film_tt0074589	tt0074589
film_tt0804522	tt0804522
film_tt0006689	tt0006689
film_tt0120350	tt0120350
film_tt0108778	tt0108778
film_tt0275668	tt0275668
start_1909	1909
film_tt0387844	tt0387844
film_tt0179443	tt0179443
film_tt0078963	tt0078963
film_tt0038158	tt0038158
film_tt0447728	tt0447728
film_tt0087777	tt0087777
film_tt0077435	tt0077435
film_tt0116289	tt0116289
film_tt0118141	tt0118141
film_tt0085627	tt0085627
film_tt0121036	tt0121036
film_tt0993841	tt0993841
film_tt0324046	tt0324046
film_tt0033728	tt0033728
film_tt0079118	tt0079118
film_tt0220238	tt0220238
film_tt0189736	tt0189736
film_tt0063553	tt0063553
film_tt0027585	tt0027585
film_tt0105249	tt0105249
film_tt0712963	tt0712963
film_tt0816407	tt0816407
film_tt0458227	tt0458227
film_tt0106534	tt0106534
film_tt0070752	tt0070752
film_tt0040513	tt0040513
film_tt0439815	tt0439815
film_tt0167701	tt0167701
film_tt0107393	tt0107393
film_tt0033575	tt0033575
film_tt0021577	tt0021577
film_tt0086946	tt0086946
film_tt0062479	tt0062479
film_tt0092627	tt0092627
film_tt0098505	tt0098505
film_tt0044762	tt0044762
film_tt0438484	tt0438484
film_tt0863095	tt0863095
film_tt0284534	tt0284534
film_tt0804551	tt0804551
film_tt0397582	tt0397582
film_tt0386850	tt0386850
film_tt0077621	tt0077621
film_tt0488352	tt0488352
film_tt0211846	tt0211846
film_tt0076937	tt0076937
film_tt0088485	tt0088485
film_tt0329502	tt0329502
film_tt0286915	tt0286915
film_tt0829143	tt0829143
film_tt0095047	tt0095047
film_tt0382053	tt0382053
film_tt0350258	tt0350258
film_tt0258760	tt0258760
film_tt0397501	tt0397501
film_tt0095050	tt0095050
film_tt0089243	tt0089243
film_tt0189630	tt0189630
film_tt0438850	tt0438850
film_tt0191176	tt0191176
film_tt0161743	tt0161743
film_tt0100924	tt0100924
end_1966	1966
start_1972	1972
film_tt0081432	tt0081432
film_tt0104515	tt0104515
film_tt0077699	tt0077699
film_tt0070039	tt0070039
film_tt0025797	tt0025797
film_tt0380955	tt0380955
film_tt0043781	tt0043781
film_tt0099188	tt0099188
film_tt0242024	tt0242024
film_tt0115479	tt0115479
film_tt0121827	tt0121827
film_tt0388377	tt0388377
film_tt0660856	tt0660856
film_tt0109190	tt0109190
film_tt0108213	tt0108213
run_143	143
film_tt0090493	tt0090493
film_tt0069134	tt0069134
film_tt0107415	tt0107415
film_tt0048649	tt0048649
film_tt0142260	tt0142260
film_tt0362478	tt0362478
film_tt0161937	tt0161937
film_tt0286975	tt0286975
film_tt0437152	tt0437152
film_tt0470000	tt0470000
film_tt0751106	tt0751106
run_108	108
film_tt0322005	tt0322005
film_tt0233687	tt0233687
film_tt0114651	tt0114651
film_tt0462570	tt0462570
end_1988	1988
start_1963	1963
film_tt0500104	tt0500104
film_tt0460628	tt0460628
film_tt0126568	tt0126568
film_tt0482163	tt0482163
film_tt0420021	tt0420021
film_tt0039111	tt0039111
film_tt0783328	tt0783328
film_tt0451035	tt0451035
film_tt0037481	tt0037481
film_tt0499019	tt0499019
end_1997	1997
run_154	154
film_tt0050135	tt0050135
film_tt0211793	tt0211793
film_tt0184673	tt0184673
film_tt0073918	tt0073918
film_tt0392378	tt0392378
film_tt0311066	tt0311066
film_tt0051819	tt0051819
film_tt0480232	tt0480232
film_tt0849425	tt0849425
film_tt0459438	tt0459438
film_tt0460673	tt0460673
film_tt0243415	tt0243415
film_tt0067871	tt0067871
film_tt0113967	tt0113967
film_tt0069945	tt0069945
film_tt0758024	tt0758024
film_tt0166002	tt0166002
film_tt0035502	tt0035502
film_tt0120481	tt0120481
film_tt0072895	tt0072895
film_tt0106639	tt0106639
run_374	374
film_tt0093741	tt0093741
film_tt0038922	tt0038922
film_tt0065026	tt0065026
film_tt0113950	tt0113950
film_tt0460912	tt0460912
film_tt0791308	tt0791308
film_tt0200923	tt0200923
film_tt0469870	tt0469870
film_tt0032553	tt0032553
end_2010	2010
film_tt0102159	tt0102159
film_tt0190232	tt0190232
film_tt0063683	tt0063683
